old_url,new_url,status,new_entity,experience_themes,old_word_count,old_has_meta_description,old_title,notes,migration_status
/,/,200 (same URL),Page,,747,yes,India Tour Packages & Custom Holidays | India Uncharted,,planned
/contact-us/,/contact,301,Page,,125,no,Contact Us - India Uncharted,,planned
/blogs/,/travel-guide,301,Page,,565,no,Blogs - India Uncharted,,planned
/destinations/,/destinations,308,Page,,115,no,Destinations - India Uncharted,trailing slash normalised,planned
/educational-group-package-rajasthan-7-days-6-nights/,/journeys/educational-group-package-rajasthan-7-days-6-nights,301,Journey (JOURNEY),,553,no,Educational Group Package – Rajasthan (7 Days / 6 Nights) - India Uncharted,,planned
/200-hour-yoga-teacher-training-course-ttc-in-rishikesh/,/journeys/200-hour-yoga-teacher-training-course-ttc-in-rishikesh,301,Journey (COURSE),,553,no,200 Hour Yoga Teacher Training Course (TTC) in Rishikesh - India Uncharted,,planned
/300-hour-yoga-teacher-training-course-ttc-in-rishikesh/,/journeys/300-hour-yoga-teacher-training-course-ttc-in-rishikesh,301,Journey (COURSE),,576,no,300 Hour Yoga Teacher Training Course (TTC) in Rishikesh - India Uncharted,,planned
/goa-yoga-retreat-package-3-days-2-nights/,/journeys/goa-yoga-retreat-package-3-days-2-nights,301,Journey (RETREAT),,357,no,Goa Yoga Retreat Package (3 Days / 2 Nights) - India Uncharted,,planned
/golden-triangle-tour-with-khajuraho-varanasi-10-days-9-nights/,/journeys/golden-triangle-tour-with-khajuraho-varanasi-10-days-9-nights,301,Journey (JOURNEY),,614,no,Golden Triangle Tour with Khajuraho & Varanasi (10 Days / 9 Nights) - India Uncharted,,planned
/golden-triangle-wildlife-tour-8-days-7-nights/,/journeys/golden-triangle-wildlife-tour-8-days-7-nights,301,Journey (JOURNEY),,733,no,Golden Triangle Wildlife Tour (8 Days / 7 Nights) - India Uncharted,,planned
/himachal-pradesh-adventure-tour-with-paragliding-course-8-days-7-nights/,/journeys/himachal-pradesh-adventure-tour-with-paragliding-course-8-days-7-nights,301,Journey (JOURNEY),,577,no,Himachal Pradesh Adventure Tour with Paragliding Course (8 Days / 7 Nights) - India Uncharted,,planned
/incredible-india-group-tour-12-days-11-nights/,/journeys/incredible-india-group-tour-12-days-11-nights,301,Journey (JOURNEY),,607,no,Incredible India Group Tour (12 Days / 11 Nights) - India Uncharted,,planned
/jaisalmer-jodhpur-student-group-tour-package-5-days-4-nights/,/journeys/jaisalmer-jodhpur-student-group-tour-package-5-days-4-nights,301,Journey (JOURNEY),,508,no,Jaisalmer & Jodhpur Student Group Tour Package (5 Days / 4 Nights) - India Uncharted,,planned
/kashmir-honeymoon-tour-package-6-days-5-nights/,/journeys/kashmir-honeymoon-tour-package-6-days-5-nights,301,Journey (JOURNEY),,552,no,Kashmir Honeymoon Tour Package (6 Days / 5 Nights) - India Uncharted,,planned
/kashmir-honeymoon-tour-package-7-days-6-nights/,/journeys/kashmir-honeymoon-tour-package-7-days-6-nights,301,Journey (JOURNEY),,532,no,Kashmir Honeymoon Tour Package (7 Days / 6 Nights) - India Uncharted,,planned
/kashmir-nature-relaxation-family-tour-8-days-7-nights/,/journeys/kashmir-nature-relaxation-family-tour-8-days-7-nights,301,Journey (JOURNEY),,687,no,Kashmir Nature & Relaxation Family Tour (8 Days / 7 Nights) - India Uncharted,,planned
/kashmir-paradise-tour-package-5-days-4-nights/,/journeys/kashmir-paradise-tour-package-5-days-4-nights,301,Journey (JOURNEY),,512,no,Kashmir Paradise Tour Package (5 Days / 4 Nights) - India Uncharted,,planned
/long-term-paragliding-certification-course-in-himachal-pradesh/,/journeys/long-term-paragliding-certification-course-in-himachal-pradesh,301,Journey (COURSE),,532,no,Long-Term Paragliding Certification Course in Himachal Pradesh - India Uncharted,,planned
/luxury-motorcycle-expedition-india-14-days-13-nights/,/bike-tours/luxury-motorcycle-expedition-india-14-days-13-nights,301,Journey (BIKE_TOUR),,689,no,Luxury Motorcycle Expedition India (14 Days / 13 Nights) - India Uncharted,,planned
/rajasthan-motorcycle-tour-12-days-11-nights/,/bike-tours/rajasthan-motorcycle-tour-12-days-11-nights,301,Journey (BIKE_TOUR),,644,no,Rajasthan Motorcycle Tour (12 Days / 11 Nights) - India Uncharted,,planned
/rajasthan-bird-photography-tour-package-7-days-6-nights/,/journeys/rajasthan-bird-photography-tour-package-7-days-6-nights,301,Journey (JOURNEY),,520,no,Rajasthan Bird Photography Tour Package (7 Days / 6 Nights) - India Uncharted,,planned
/rajasthan-wildlife-tour-package-6-days-5-nights/,/journeys/rajasthan-wildlife-tour-package-6-days-5-nights,301,Journey (JOURNEY),,464,no,Rajasthan Wildlife Tour Package (6 Days / 5 Nights) - India Uncharted,,planned
/rishikesh-yoga-spiritual-retreat-3-days-2-nights/,/journeys/rishikesh-yoga-spiritual-retreat-3-days-2-nights,301,Journey (RETREAT),,371,no,Rishikesh Yoga & Spiritual Retreat (3 Days / 2 Nights) - India Uncharted,,planned
/rishikesh-yoga-teacher-training-tour-28-days-27-nights/,/journeys/rishikesh-yoga-teacher-training-tour-28-days-27-nights,301,Journey (COURSE),,517,no,Rishikesh Yoga Teacher Training Tour (28 Days / 27 Nights) - India Uncharted,,planned
/royal-enfield-adventure-tour-ultimate-india-motorcycle-expedition-12-days-11-nights/,/bike-tours/royal-enfield-adventure-tour-ultimate-india-motorcycle-expedition-12-days-11-nights,301,Journey (BIKE_TOUR),,641,no,Royal Enfield Adventure Tour – Ultimate India Motorcycle Expedition (12 Days / 11 Nights) - India Uncharted,,planned
/spiritual-india-tour-package-12-days-11-nights/,/journeys/spiritual-india-tour-package-12-days-11-nights,301,Journey (JOURNEY),,620,no,Spiritual India Tour Package (12 Days / 11 Nights) - India Uncharted,,planned
/udaipur-romantic-honeymoon-package-4-days-3-nights/,/journeys/udaipur-romantic-honeymoon-package-4-days-3-nights,301,Journey (JOURNEY),,462,no,Udaipur Romantic Honeymoon Package (4 Days / 3 Nights) - India Uncharted,,planned
/ultimate-india-experience-golden-triangle-rajasthan-taj-mahal-varanasi/,/journeys/ultimate-india-experience-golden-triangle-rajasthan-taj-mahal-varanasi,301,Journey (JOURNEY),,602,no,"Ultimate India Experience – Golden Triangle, Rajasthan, Taj Mahal & Varanasi - India Uncharted",,planned
/agra-tour-packages/,/destinations/agra,301,Destination,,350,no,Agra Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/delhi-tour-packages/,/destinations/delhi,301,Destination,,564,no,Delhi Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/amritsar-tour-packages/,/destinations/amritsar,301,Destination,,378,no,Amritsar Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/bharatpur-tour-packages/,/destinations/bharatpur,301,Destination,,437,no,Bharatpur Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/bikaner-tour-packages/,/destinations/bikaner,301,Destination,,388,no,Bikaner Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/gulmarg-tour-packages/,/destinations/gulmarg,301,Destination,,460,no,Gulmarg Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/haridwar-tour-packages/,/destinations/haridwar,301,Destination,,390,no,Haridwar Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/himachal-pradesh-tour-packages/,/destinations/himachal-pradesh,301,Destination,,447,no,Himachal Pradesh Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/jaisalmer-tour-packages/,/destinations/jaisalmer,301,Destination,,581,no,Jaisalmer Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/jawai-tour-packages/,/destinations/jawai,301,Destination,,416,no,Jawai Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/jodhpur-tour-packages/,/destinations/jodhpur,301,Destination,,547,no,Jodhpur Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/kashmir-tour-packages/,/destinations/kashmir,301,Destination,,414,no,Kashmir Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/khajuraho-tour-packages/,/destinations/khajuraho,301,Destination,,407,no,Khajuraho Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/leh-tour-packages/,/destinations/leh,301,Destination,,463,no,Leh Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/manali-tour-packages/,/destinations/manali,301,Destination,,462,no,Manali Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/pushkar-tour-packages/,/destinations/pushkar,301,Destination,,424,no,Pushkar Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/rishikesh-tour-packages/,/destinations/rishikesh,301,Destination,,489,no,Rishikesh Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/ranthambore-tour-packages/,/destinations/ranthambore,301,Destination,,455,no,Ranthambore Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/udaipur-tour-packages/,/destinations/udaipur,301,Destination,,520,no,Udaipur Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/varanasi-tour-packages/,/destinations/varanasi,301,Destination,,470,no,Varanasi Tour Packages - India Uncharted,Merge this landing-page copy into the destination record,planned
/pushkar-walking-tour-spiritual-cultural-heritage-experience/,/experiences/pushkar-walking-tour-spiritual-cultural-heritage-experience,301,Experience,heritage;spiritual-india,556,no,Pushkar Walking Tour – Spiritual & Cultural Heritage Experience - India Uncharted,,planned
/walking-tour/,/experiences?format=walking,301,Filter view,,279,no,Walking Tour - India Uncharted,,planned
/sightseeing-tour/,/experiences?format=sightseeing,301,Filter view,,138,no,Sightseeing Tour - India Uncharted,,planned
/cycle-tour/,/experiences?format=cycling,301,Filter view,,119,no,Cycle Tour - India Uncharted,,planned
/activity/,/experiences,301,Page,,105,no,Activity - India Uncharted,,planned
/food-walking-tour/,/experiences?format=food-walk,301,Filter view,,155,no,Food Walking Tour - India Uncharted,,planned
/desert-evening-tour/,/experiences?format=desert-evening,301,Filter view,,125,no,Desert Evening Tour - India Uncharted,,planned
/udaipur-food-walking-tour-taste-the-flavors-of-the-city-of-lakes/,/experiences/udaipur-food-walking-tour-taste-the-flavors-of-the-city-of-lakes,301,Experience,food,519,no,Udaipur Food Walking Tour – Taste the Flavors of the City of Lakes - India Uncharted,,planned
/2-nights-3-days-golden-city-jaisalmer-tour-package/,/journeys/2-nights-3-days-golden-city-jaisalmer-tour-package,301,Journey (JOURNEY),,574,no,2 Nights 3 Days Golden City Jaisalmer Tour Package - India Uncharted,,planned
/delhi-heritage-walking-tour-explore-the-soul-of-old-delhi/,/experiences/delhi-heritage-walking-tour-explore-the-soul-of-old-delhi,301,Experience,heritage,549,no,Delhi Heritage Walking Tour – Explore the Soul of Old Delhi - India Uncharted,,planned
/udaipur-heritage-walking-tour-explore-the-city-of-lakes/,/experiences/udaipur-heritage-walking-tour-explore-the-city-of-lakes,301,Experience,heritage,520,no,Udaipur Heritage Walking Tour – Explore the City of Lakes - India Uncharted,,planned
/agra-walking-tour-heritage-markets-mughal-culture-experience/,/experiences/agra-walking-tour-heritage-markets-mughal-culture-experience,301,Experience,heritage,513,no,"Agra Walking Tour – Heritage, Markets & Mughal Culture Experience - India Uncharted",,planned
/jaipur-food-walking-tour-taste-the-flavors-of-the-pink-city/,/experiences/jaipur-food-walking-tour-taste-the-flavors-of-the-pink-city,301,Experience,food,512,no,Jaipur Food Walking Tour – Taste the Flavors of the Pink City - India Uncharted,,planned
/jaisalmer-desert-evening-tour-camel-safari-folk-dance-dinner-return/,/experiences/jaisalmer-desert-evening-tour-camel-safari-folk-dance-dinner-return,301,Experience,adventure;food,496,no,"Jaisalmer Desert Evening Tour – Camel Safari, Folk Dance, Dinner & Return - India Uncharted",,planned
/jaisalmer-walking-tour-explore-the-golden-city-on-foot/,/experiences/jaisalmer-walking-tour-explore-the-golden-city-on-foot,301,Experience,heritage,529,no,Jaisalmer Walking Tour – Explore the Golden City on Foot - India Uncharted,,planned
/highlights-of-jodhpur-guided-full-day-city-sightseeing-tour/,/experiences/highlights-of-jodhpur-guided-full-day-city-sightseeing-tour,301,Experience,heritage,506,no,Highlights of Jodhpur – Guided Full Day City Sightseeing Tour - India Uncharted,,planned
/highlights-of-jaisalmer-guided-full-day-city-sightseeing-tour/,/experiences/highlights-of-jaisalmer-guided-full-day-city-sightseeing-tour,301,Experience,heritage,498,no,Highlights of Jaisalmer – Guided Full Day City Sightseeing Tour - India Uncharted,,planned
/transfers/,/services/transfers,301,Page,,639,no,Transfers - India Uncharted,,planned
/jaipur-cycle-tour-morning-heritage-local-life-experience/,/experiences/jaipur-cycle-tour-morning-heritage-local-life-experience,301,Experience,heritage;village-life,487,no,Jaipur Cycle Tour – Morning Heritage & Local Life Experience - India Uncharted,,planned
/rajasthan-wildlife-photography-tour/,/journeys/rajasthan-wildlife-photography-tour,301,Journey (JOURNEY),,621,yes,10-Day Rajasthan Wildlife Photography Tour | India Uncharted,,planned
/7-day-yoga-wellness-retreat-goa/,/journeys/7-day-yoga-wellness-retreat-goa,301,Journey (RETREAT),,370,yes,"Goa Yoga Retreat 7 Days | Yoga, Meditation & Ayurveda",,planned
/jodhpur-food-walking-tour/,/experiences/jodhpur-food-walking-tour,301,Experience,food,577,yes,Jodhpur Food Walking Tour | Authentic Street Food Experience,,planned
/goa-tour-packages/,/destinations/goa,301,Destination,,463,yes,Goa Tour Packages | Best Goa Holiday Packages & Tours,Merge this landing-page copy into the destination record,planned
/15-day-beachfront-yoga-wellness-holiday-goa-india/,/journeys/15-day-beachfront-yoga-wellness-holiday-goa-india,301,Journey (RETREAT),,618,yes,"15-Day Beachfront Yoga & Wellness Holiday in Goa, India",,planned
/8-day-yoga-retreat-goa-india/,/journeys/8-day-yoga-retreat-goa-india,301,Journey (RETREAT),,823,yes,"8-Day Yoga Retreat in Goa, India | Beachfront Wellness Holiday",,planned
/india-yoga-retreat-package-10-days/,/journeys/india-yoga-retreat-package-10-days,301,Journey (RETREAT),,569,yes,"India Yoga Retreat Package 10 Days | Delhi, Rishikesh & Goa",,planned
/about-us/,/about,301,Page,,549,yes,About India Uncharted | Custom India Tours & Travel Experts,,planned
/testimonial/176/,/about,301,Page,,170,no,- India Uncharted,,planned
/testimonial/177/,/about,301,Page,,168,no,- India Uncharted,,planned
/category/blog/,/travel-guide,301,Page,,299,no,Blog Archives - India Uncharted,,planned
/destination/agra/,/destinations/agra,301,Destination,,193,no,AGRA Archives - India Uncharted,,planned
/destination/amritsar/,/destinations/amritsar,301,Destination,,116,no,AMRITSAR Archives - India Uncharted,,planned
/destination/bharatpur/,/destinations/bharatpur,301,Destination,,154,no,BHARATPUR Archives - India Uncharted,,planned
/destination/bikaner/,/destinations/bikaner,301,Destination,,116,no,BIKANER Archives - India Uncharted,,planned
/destination/chandigarh/,/destinations/chandigarh,301,Destination,,99,no,CHANDIGARH Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/destination/delhi/,/destinations/delhi,301,Destination,,284,no,DELHI Archives - India Uncharted,,planned
/destination/doodhpathri/,/destinations/doodhpathri,301,Destination,,99,no,DOODHPATHRI Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/destination/goa/,/destinations/goa,301,Destination,,173,yes,"Goa | Travel Guide to Goa, India",,planned
/destination/gulmarg/,/destinations/gulmarg,301,Destination,,174,no,GULMARG Archives - India Uncharted,,planned
/destination/haridwar/,/destinations/haridwar,301,Destination,,116,no,HARIDWAR Archives - India Uncharted,,planned
/destination/himachal-pradesh/,/destinations/himachal-pradesh,301,Destination,,143,no,HIMACHAL PRADESH Archives - India Uncharted,,planned
/destination/jaipur/,/destinations/jaipur,301,Destination,,258,no,JAIPUR Archives - India Uncharted,,planned
/destination/jaisalmer/,/destinations/jaisalmer,301,Destination,,281,no,JAISALMER Archives - India Uncharted,,planned
/destination/jaispa/,/destinations/jispa,301,Destination,,125,no,JAISPA Archives - India Uncharted,Probably Jispa (Manali-Leh route); confirm with client,planned
/destination/jawai/,/destinations/jawai,301,Destination,,114,no,JAWAI Archives - India Uncharted,,planned
/destination/jodhpur/,/destinations/jodhpur,301,Destination,,249,no,JODHPUR Archives - India Uncharted,,planned
/destination/kashmir/,/destinations/kashmir,301,Destination,,115,no,KASHMIR Archives - India Uncharted,,planned
/destination/khajuraho/,/destinations/khajuraho,301,Destination,,119,no,KHAJURAHO Archives - India Uncharted,,planned
/destination/khivhan/,/destinations/khichan,301,Destination,,99,no,KHIVHAN Archives - India Uncharted,Probably Khichan (demoiselle crane village); confirm with client; Thin archive with no linked products; seed as DRAFT,planned
/destination/leh/,/destinations/leh,301,Destination,,149,no,LEH Archives - India Uncharted,,planned
/destination/manali/,/destinations/manali,301,Destination,,171,no,MANALI Archives - India Uncharted,,planned
/destination/nubra-valley/,/destinations/nubra-valley,301,Destination,,128,no,NUBRA VALLEY Archives - India Uncharted,,planned
/destination/pahalgam/,/destinations/pahalgam,301,Destination,,152,no,PAHALGAM Archives - India Uncharted,,planned
/destination/pangong-lake/,/destinations/pangong-lake,301,Destination,,128,no,PANGONG LAKE Archives - India Uncharted,,planned
/destination/pushkar/,/destinations/pushkar,301,Destination,,126,no,PUSHKAR Archives - India Uncharted,,planned
/destination/ranthambore/,/destinations/ranthambore,301,Destination,,153,no,RANTHAMBORE Archives - India Uncharted,,planned
/destination/ranthombore/,/destinations/ranthambore,301,Destination,,153,no,RANTHOMBORE Archives - India Uncharted,Duplicate misspelling of Ranthambore; merge,planned
/destination/rishikesh/,/destinations/rishikesh,301,Destination,,200,no,RISHIKESH Archives - India Uncharted,,planned
/destination/sarchu/,/destinations/sarchu,301,Destination,,99,no,SARCHU Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/destination/sariska/,/destinations/sariska,301,Destination,,99,no,SARISKA Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/destination/sonamarg/,/destinations/sonamarg,301,Destination,,99,no,SONAMARG Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/destination/srinagar/,/destinations/srinagar,301,Destination,,174,no,SRINAGAR Archives - India Uncharted,,planned
/destination/tal-chhapar/,/destinations/tal-chhapar,301,Destination,,102,no,TAL CHHAPAR Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/destination/udaipur/,/destinations/udaipur,301,Destination,,228,no,UDAIPUR Archives - India Uncharted,,planned
/destination/varanasi/,/destinations/varanasi,301,Destination,,163,no,VARANASI Archives - India Uncharted,,planned
/destination/yusmarg/,/destinations/yusmarg,301,Destination,,99,no,YUSMARG Archives - India Uncharted,Thin archive with no linked products; seed as DRAFT,planned
/activity/cycle-tour/,/experiences?format=cycling,301,Filter view,,99,no,Cycle Tour Archives - India Uncharted,,planned
/activity/desert-evening-tour/,/experiences?format=desert-evening,301,Filter view,,102,no,Desert Evening Tour Archives - India Uncharted,,planned
/activity/food-walking-tour/,/experiences?format=food-walk,301,Filter view,,102,no,Food Walking Tour Archives - India Uncharted,,planned
/activity/sightseeing-tour/,/experiences?format=sightseeing,301,Filter view,,99,no,Sightseeing Tour Archives - India Uncharted,,planned
/activity/walking-tour/,/experiences?format=walking,301,Filter view,,99,no,Walking Tour Archives - India Uncharted,,planned
/author/indiauncharted/,/about,301,Page,,0,no,,Author archive,planned
/author/saragamhospitaludaipur/,,410,,,0,no,,Author account unrelated to India Uncharted; audit WordPress user access,planned
